Issac Newton
Julia Michaels
Ben Frank
Noam Chomsky
Ernest Hemingway
Faustina Bama
Firdausi
Franz Kalka
G. B. Shaw
G. V. Desani
G.B.Shaw
Geofray Chosar
George Eliot
George Orwell
Girish Karnad
Goethe
Gopinath Mohanty
Gunjan Jain
Gunnar Myrdal
Guy de Maupassaut
H.G. Wells
H.G.Wells
Habib Tanvir
Han Kang
Harisen
Harivansh Rai Bachchan
Harold T.Laski
Heinrich Boll
Herbert Spencer
Herodotus
Hindol Sengupta
Homer
Huxlay
Indira Gandhi
Indira Goswami
Indra Das
Indrajit Hazare
Ismat Chugtai
Issac Newton
J. K. Rowling
J. P. Narayan
Jacqueline Susann
Jairam Ramesh
James Joyce
Janardan Thakur
Jane Austen
Jaswant Singh
Javed Ashraf
Jawahar Lal Nehru
Jawaharlal Nehru
Jay Prakash Narayan
Jaya Dev
Jayaprakash Narayan
Jean Baptiste Lamarck
Jean Jacques Rousseau
Jean Paul Sartre
Jhumpa Lahiri
Jibanananda Das
John Bunyan
John Galsworthy
John Kenneth Galbraith
John Milton
John Ruskin
Jonathan Swift
Jules Verne
Julian Barnes
Jyotiba Phule
K. M. Munshi
K. P. Mathur
Kalhan
Kalidas
Kapil Dev
Karl Marks
Karl Marx
Katharin Mayo
Kautilya
Kazi Nasrul Islam
Keki N. Daruwalla
Kenjaburo Ue
Khan Abdul Ghaffar Khan
Khurshid Mahmud Kasuri
Khushwant Singh
Kiran Desai
Kota Neelima
Kota SHivaram Karanth
Krishna Deva Raya
Krishna Sobti
Kuldip Nayar
Lal Krishna Advani
Lala Lajpat Rai
Leaders
Leo Tolstoy
Lewis Carrol
Lewis Wallace
Lord Curzon
Lord Hardinge II
Louis Fisher
M. K. Gandhi
M. T. Vasudevan
Maciavaly
Mahadevi Verma
Mahasweta Devi
Mahatma M.K.Gandhi
Mala Sen
Manik Bandopadhyay
Manik Bandyopadhyay
Manju Joseph
Manohar and Sarita Prabhakar
Mario Puzo
Mark Twain
Masanobu Fukuoka
Mathili Saran Gupta
Maxim Gorky
Megasthenis
Meghnad Desai
Michael Crichton
Michel Madhusudan Dutta
Mihir Bose
Mohan Rakesh
Mohini Kent
Morarji Bhai Desai
Mr. T. S. Krishnamurthy
Mrs.Harriet Stowe
Mulk Raj Anand
Mulkraj Anand
Munshi Premchand
N. R. Narayana Murthy
Nanda Menon
Narendra Jadhav
Narendra Modi
Nayanjot Lahiri
Nayantara Sahgal
